side,filename,xLi,xEMC,xEC,stdev,tp_dens,tp_frac
anodic,data/55100_1.csv,0.13309218114943633,0.4451198980573281,0.42178792079323557,0.0025980017726753442,0.7239719921966228,0.28056492965604485
neutral,data/55100_1.csv,0.125,0.4375,0.4375,0,0.7239719921966228,0.28056492965604485
cathodic,data/55100_1.csv,0.11786637135605815,0.4334629904094527,0.44867063823448916,0.0026110870686882025,0.7239719921966228,0.28056492965604485
anodic,data/55100_2.csv,0.13288954126994668,0.444007577056027,0.4231028816740263,0.0025905067542385377,0.6911002731528826,0.2938284737501081
neutral,data/55100_2.csv,0.125,0.4375,0.4375,0,0.6911002731528826,0.2938284737501081
cathodic,data/55100_2.csv,0.11800332344353137,0.4342020583831072,0.4477946181733614,0.0026049381372905836,0.6911002731528826,0.2938284737501081
anodic,data/55100_3.csv,0.13358247830115033,0.4474663004646118,0.4189512212342379,0.002641387323266249,0.7831445273628255,0.27890279072787644
neutral,data/55100_3.csv,0.125,0.4375,0.4375,0,0.7831445273628255,0.27890279072787644
cathodic,data/55100_3.csv,0.1182279112449578,0.433227597962059,0.4485444907929832,0.002607907539058331,0.7831445273628255,0.27890279072787644
anodic,data/55100_4.csv,0.13312650739976561,0.4435728923388069,0.42330060026142746,0.0025850431461775097,0.66478653466619,0.2839079756343882
neutral,data/55100_4.csv,0.125,0.4375,0.4375,0,0.66478653466619,0.2839079756343882
cathodic,data/55100_4.csv,0.11806756675127872,0.4345671755793319,0.4473652576693894,0.0026018423849283757,0.66478653466619,0.2839079756343882
